//X Y Z R G B
94448
-0.44698358 0.11904588 2.48987675 96 96 96
-0.44241440 0.11902519 2.48944426 95 95 95
-0.43784681 0.11900452 2.48901176 93 93 93
-0.43328083 0.11898385 2.48857951 94 94 94
-0.42871639 0.11896318 2.48814726 92 92 92
-0.42415354 0.11894253 2.48771524 92 92 92
-0.41959226 0.11892188 2.48728323 91 91 91
-0.41503263 0.11890124 2.48685169 90 90 90
-0.41047451 0.11888059 2.48641992 90 90 90
-0.40591803 0.11885998 2.48598862 90 90 90
-0.40136310 0.11883935 2.48555732 91 91 91
-0.39680976 0.11881875 2.48512626 88 88 88
-0.39225799 0.11879814 2.48469520 90 90 90
-0.38770780 0.11877754 2.48426437 90 90 90
-0.38315922 0.11875695 2.48383379 89 89 89
-0.37861216 0.11873636 2.48340321 90 90 90
-0.37406671 0.11871579 2.48297286 90 90 90
-0.36952287 0.11869522 2.48254275 88 88 88
-0.36498055 0.11867466 2.48211265 87 87 87
-0.36043984 0.11865410 2.48168278 87 87 87
-0.35590065 0.11863355 2.48125291 89 89 89
-0.35136306 0.11861301 2.48082328 88 88 88
-0.34682703 0.11859247 2.48039365 86 86 86
-0.34229261 0.11857195 2.47996449 86 86 86
-0.33775973 0.11855143 2.47953534 86 86 86
-0.33322841 0.11853091 2.47910619 85 85 85
-0.32869866 0.11851040 2.47867727 86 86 86
-0.32424620 0.11851758 2.47882724 88 88 88
-0.31979930 0.11852701 2.47902465 89 89 89
-0.31535169 0.11853645 2.47922206 87 87 87
-0.31090337 0.11854589 2.47941947 89 89 88
-0.30645433 0.11855533 2.47961688 89 89 89
-0.30200461 0.11856477 2.47981429 90 90 90
-0.29755417 0.11857422 2.48001194 90 90 90
-0.29310301 0.11858366 2.48020935 90 90 90
-0.28865114 0.11859310 2.48040700 90 90 90
-0.28419855 0.11860254 2.48060441 91 91 91
-0.27974528 0.11861199 2.48080206 89 89 89
-0.27529129 0.11862145 2.48099995 94 94 94
-0.27083659 0.11863091 2.48119760 96 96 96
-0.26638117 0.11864036 2.48139524 96 96 96
-0.26192504 0.11864980 2.48159289 98 98 98
-0.25746822 0.11865927 2.48179078 99 99 99
-0.25301066 0.11866872 2.48198843 99 99 99
-0.24855241 0.11867818 2.48218632 100 100 100
-0.24409348 0.11868765 2.48238444 100 100 100
-0.23963377 0.11869710 2.48258209 101 101 101
-0.23517340 0.11870658 2.48278022 102 102 102
-0.23071229 0.11871604 2.48297811 102 102 102
-0.22625050 0.11872551 2.48317623 104 104 103
-0.22178799 0.11873498 2.48337436 105 105 105
-0.21732473 0.11874444 2.48357224 106 106 106
-0.21286079 0.11875392 2.48377037 106 106 106
-0.20839614 0.11876339 2.48396850 107 107 107
-0.20393077 0.11877286 2.48416662 107 107 107
-0.19946469 0.11878235 2.48436499 108 108 107
-0.19499789 0.11879182 2.48456311 108 108 108
-0.19053039 0.11880130 2.48476148 109 109 108
-0.18606216 0.11881077 2.48495960 110 110 109
-0.18159322 0.11882026 2.48515797 110 110 110
-0.17712358 0.11882974 2.48535633 112 112 111
-0.17265321 0.11883923 2.48555470 112 112 111
-0.16818215 0.11884873 2.48575330 113 113 112
-0.16371036 0.11885821 2.48595166 112 112 112
-0.15923785 0.11886769 2.48615003 113 113 113
-0.15476464 0.11887719 2.48634863 114 114 114
-0.15029071 0.11888668 2.48654723 116 116 116
-0.14581607 0.11889618 2.48674583 118 118 117
-0.14134069 0.11890566 2.48694420 119 119 118
-0.13686463 0.11891517 2.48714304 120 120 119
-0.13238785 0.11892468 2.48734188 121 121 120
-0.12791033 0.11893417 2.48754048 121 121 120
-0.12343211 0.11894367 2.48773909 120 120 119
-0.11895318 0.11895318 2.48793793 120 120 119
-0.11447352 0.11896268 2.48813677 121 121 120
-0.10999314 0.11897217 2.48833537 120 120 120
-0.10551207 0.11898170 2.48853445 121 121 120
-0.10103027 0.11899120 2.48873329 121 121 121
-0.09654775 0.11900071 2.48893213 121 121 121
-0.09206451 0.11901022 2.48913121 122 122 122
-0.08758056 0.11901973 2.48933005 121 121 121
-0.08309589 0.11902925 2.48952913 122 122 122
-0.07861051 0.11903877 2.48972821 123 123 123
-0.07412440 0.11904829 2.48992729 124 124 123
-0.06963759 0.11905781 2.49012637 124 124 124
-0.06520218 0.11916261 2.49231839 125 125 125
-0.06076600 0.11928140 2.49480295 125 125 125
-0.05632096 0.11940043 2.49729252 125 125 125
-0.05186704 0.11951970 2.49978709 126 126 125
-0.04740422 0.11963922 2.50228667 125 125 125
-0.04293245 0.11975896 2.50479102 125 125 125
-0.03845173 0.11987894 2.50730062 126 126 126
-0.03396203 0.11999917 2.50981522 126 126 125
-0.02946331 0.12011964 2.51233482 126 126 126
-0.02495554 0.12024035 2.51485944 126 126 126
-0.02043871 0.12036131 2.51738930 127 127 126
-0.01591278 0.12048250 2.51992416 127 127 127
-0.01137773 0.12060393 2.52246404 126 126 125
-0.00683353 0.12072562 2.52500916 126 126 125
-0.00228014 0.12084748 2.52755785 126 126 125
0.00228245 0.12096966 2.53011322 126 126 125
0.00685427 0.12109209 2.53267384 125 125 125
0.01143535 0.12121475 2.53523946 126 126 125
0.01602573 0.12133767 2.53781033 125 125 125
0.02062543 0.12146086 2.54038668 125 125 124
0.02523447 0.12158427 2.54296803 138 138 138
0.02985566 0.12171925 2.54579115 138 138 138
0.03449072 0.12186719 2.54888535 136 136 136
0.03913707 0.12201557 2.55198860 135 135 135
0.04379477 0.12216437 2.55510092 134 134 134
0.04846442 0.12231497 2.55825067 133 133 132
0.05314562 0.12246599 2.56140947 147 147 146
0.05783836 0.12261733 2.56457472 146 146 146
0.06254272 0.12276904 2.56774783 145 145 145
0.06725877 0.12292120 2.57093024 144 144 144
0.14142372 0.12287635 2.56999207 152 152 151
0.14587839 0.12272310 2.56678677 152 152 152
0.15032196 0.12257022 2.56358933 152 152 152
0.15475449 0.12241773 2.56040001 152 152 152
0.15917610 0.12226570 2.55722022 138 138 138
0.16358663 0.12211396 2.55404663 139 139 139
0.16798684 0.12196305 2.55089021 139 139 139
0.17237639 0.12181266 2.54774475 139 139 139
0.17675515 0.12166263 2.54460692 139 139 139
0.18144093 0.12172619 2.54593635 138 138 138
0.18618309 0.12182350 2.54797173 139 139 138
0.19093297 0.12192106 2.55001187 139 139 138
0.19569033 0.12201867 2.55205369 140 140 140
0.20045532 0.12211645 2.55409884 140 140 140
0.20522808 0.12221447 2.55614877 153 153 153
0.21000986 0.12231344 2.55821872 153 153 153
0.21480022 0.12241303 2.56030178 153 153 153
0.21959841 0.12251280 2.56238842 153 153 153
0.22440442 0.12261272 2.56447840 154 154 154
0.64334011 0.12134173 2.53789520 155 155 155
0.64734095 0.12123346 2.53563070 155 155 155
0.65133458 0.12112539 2.53337026 155 155 155
0.65532154 0.12101757 2.53111529 155 155 155
0.65930098 0.12090987 2.52886271 155 155 155
0.66327333 0.12080237 2.52661419 143 143 143
0.66723907 0.12069512 2.52437115 143 143 143
0.67119735 0.12058800 2.52213073 143 143 143
0.67514861 0.12048107 2.51989412 143 143 143
0.67909324 0.12037439 2.51766300 143 143 143
0.68303055 0.12026784 2.51543450 143 143 142
0.68696088 0.12016147 2.51320982 143 143 142
0.69088465 0.12005537 2.51099062 143 143 142
0.69480109 0.11994938 2.50877380 143 143 142
0.69871062 0.11984357 2.50656080 142 142 141
